model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,centroid_separation,4.990856647491455,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,centroid_norm,10.557893753051758,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,language_subspace_variance_fraction,0.35314622219710456,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,language_subspace_centroid_variance,1.0000000000000002,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,anisotropy,0.861824319320649,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,geometry,,,stable_rank,5.289191542872836,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,ko,r1,0.232421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,ko,mrr,0.3172671923369494,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,ja,r1,0.16796875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,ja,mrr,0.24987343594632783,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,zh,r1,0.40625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,en,zh,mrr,0.500195887206203,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,en,r1,0.216796875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,en,mrr,0.3188318964008684,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,ja,r1,0.314453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,ja,mrr,0.4149055622032932,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,zh,r1,0.126953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ko,zh,mrr,0.20264759212408226,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,en,r1,0.169921875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,en,mrr,0.2670313731452948,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,ko,r1,0.22265625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,ko,mrr,0.3325420006956127,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,zh,r1,0.125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,ja,zh,mrr,0.19112979435386498,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,en,r1,0.478515625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,en,mrr,0.5794015182036744,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,ko,r1,0.15625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,ko,mrr,0.2375501694393927,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,ja,r1,0.099609375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,raw,zh,ja,mrr,0.16969711591161138,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,ko,r1,0.44921875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,ko,mrr,0.5630653184552463,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,ja,r1,0.49609375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,ja,mrr,0.6213412793892183,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,zh,r1,0.64453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,en,zh,mrr,0.7427958998575122,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,en,r1,0.4296875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,en,mrr,0.5425860919018871,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,ja,r1,0.421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,ja,mrr,0.5398220919334509,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,zh,r1,0.283203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ko,zh,mrr,0.3969079255008269,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ja,en,r1,0.505859375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ja,en,mrr,0.6231873327449624,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,last_token,per-language-centered,ja,ko,r1,0.447265625,3,1024,2048
