model,block_layer,stage,pooling,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ko,r1,0.232421875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ko,r5,0.396484375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ko,r10,0.474609375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ko,mrr,0.3172671923369494,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ja,r1,0.16796875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ja,r5,0.318359375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ja,r10,0.404296875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,ja,mrr,0.24987343594632783,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,zh,r1,0.40625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,zh,r5,0.603515625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,zh,r10,0.677734375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,en,zh,mrr,0.500195887206203,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,en,r1,0.216796875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,en,r5,0.423828125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,en,r10,0.537109375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,en,mrr,0.3188318964008684,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,ja,r1,0.314453125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,ja,r5,0.509765625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,ja,r10,0.603515625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,ja,mrr,0.4149055622032932,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,zh,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,zh,r5,0.271484375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,zh,r10,0.3515625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ko,zh,mrr,0.20264759212408226,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,en,r1,0.169921875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,en,r5,0.37109375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,en,r10,0.4921875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,en,mrr,0.2670313731452948,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,ko,r1,0.22265625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,ko,r5,0.453125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,ko,r10,0.54296875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,ko,mrr,0.3325420006956127,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,zh,r1,0.125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,zh,r5,0.234375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,zh,r10,0.330078125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,ja,zh,mrr,0.19112979435386498,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,en,r1,0.478515625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,en,r5,0.693359375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,en,r10,0.779296875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,en,mrr,0.5794015182036744,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ko,r1,0.15625,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ko,r5,0.3046875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ko,r10,0.38671875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ko,mrr,0.2375501694393927,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ja,r1,0.099609375,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ja,r5,0.232421875,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ja,r10,0.298828125,512
Qwen/Qwen2.5-0.5B,7,input,last_token,zh,ja,mrr,0.16969711591161138,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ko,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ko,r5,0.0546875,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ko,r10,0.07421875,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ko,mrr,0.03931682491053756,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ja,r1,0.05859375,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ja,r5,0.109375,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ja,r10,0.1328125,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,ja,mrr,0.09443892491554354,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,zh,r1,0.80078125,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,zh,r5,0.853515625,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,zh,r10,0.87109375,512
Qwen/Qwen2.5-0.5B,7,input,mean,en,zh,mrr,0.8264880557954224,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,en,r1,0.626953125,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,en,r5,0.822265625,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,en,r10,0.8828125,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,en,mrr,0.7172282472381823,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,ja,r1,0.76953125,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,ja,r5,0.869140625,512
Qwen/Qwen2.5-0.5B,7,input,mean,ko,ja,r10,0.91015625,512
