model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,ko,r1,0.296875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,ko,mrr,0.3909211628820859,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,ja,r1,0.21875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,ja,mrr,0.3165331470113334,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,zh,r1,0.439453125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,en,zh,mrr,0.542217302007904,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,en,r1,0.234375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,en,mrr,0.33134613819375514,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,ja,r1,0.357421875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,ja,mrr,0.4745403759780712,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,zh,r1,0.171875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ko,zh,mrr,0.2498430576686126,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ja,en,r1,0.193359375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ja,en,mrr,0.28365758035007865,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,normal,,ja,ko,r1,0.32421875,1024,2048,metric,,,,
