record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,Qwen/Qwen2.5-0.5B,last_token,language,,en,accuracy,0.6973333333333334,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,en,macro_f1,0.6158759018458126,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ko,accuracy,0.22733333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ko,macro_f1,0.14124391807615394,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ja,accuracy,0.33266666666666667,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ja,macro_f1,0.2604108278153881,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,zh,accuracy,0.5746666666666667,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,zh,macro_f1,0.5155829987942055,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,en,accuracy,0.7553333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,en,macro_f1,0.6956559978368,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ko,accuracy,0.36133333333333334,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ko,macro_f1,0.2670795876976377,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ja,accuracy,0.48333333333333334,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ja,macro_f1,0.39309563965078403,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,zh,accuracy,0.586,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,zh,macro_f1,0.5143529669372758,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,en,accuracy,0.758,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,en,macro_f1,0.6955440028266077,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ko,accuracy,0.216,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ko,macro_f1,0.14732297048016813,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ja,accuracy,0.20333333333333334,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ja,macro_f1,0.13926108065754395,,,,,3000,1500
