model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,ko,r1,0.671875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,ko,mrr,0.7582817177413232,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,ja,r1,0.5703125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,ja,mrr,0.660161889721832,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,zh,r1,0.626953125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,en,zh,mrr,0.7262567317702547,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,en,r1,0.779296875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,en,mrr,0.8379591859664571,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,ja,r1,0.580078125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,ja,mrr,0.6527326078804638,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,zh,r1,0.583984375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ko,zh,mrr,0.6902965178788129,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,en,r1,0.701171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,en,mrr,0.7907188603990298,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,ko,r1,0.650390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,ko,mrr,0.7311592548217352,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,zh,r1,0.7265625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,ja,zh,mrr,0.8061109041805719,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,en,r1,0.76171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,en,mrr,0.8362554715141767,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,ko,r1,0.576171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,ko,mrr,0.6802076154327419,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,ja,r1,0.521484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,normal,,zh,ja,mrr,0.6027164239281108,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,ko,r1,0.376953125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,ko,mrr,0.47947264541890866,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,ja,r1,0.21875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,ja,mrr,0.3460980837281351,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,zh,r1,0.154296875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,en,zh,mrr,0.2808612685223699,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,en,r1,0.806640625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,en,mrr,0.8575640304128536,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,ja,r1,0.490234375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,ja,mrr,0.5815775706922863,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,zh,r1,0.197265625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ko,zh,mrr,0.3197247783062014,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,en,r1,0.615234375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,en,mrr,0.7423537503011033,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,ko,r1,0.486328125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,ko,mrr,0.5981657812982625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,zh,r1,0.71484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,zh,mrr,0.7883125902038431,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,en,r1,0.630859375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,en,mrr,0.7739671573708147,1024,2048,metric,,,,
