record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,en,accuracy,0.7206666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,en,macro_f1,0.6610745933735585,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ko,accuracy,0.21,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ko,macro_f1,0.21405835318245295,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ja,accuracy,0.332,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ja,macro_f1,0.2812283966600224,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,zh,accuracy,0.4746666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,zh,macro_f1,0.4403546282473309,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,en,accuracy,0.7713333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,en,macro_f1,0.7169386410584404,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ko,accuracy,0.4846666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ko,macro_f1,0.41547545354673543,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ja,accuracy,0.5266666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ja,macro_f1,0.48092278815469475,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,zh,accuracy,0.51,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,zh,macro_f1,0.46479711284134184,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,en,accuracy,0.7186666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,en,macro_f1,0.6426625377061335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ko,accuracy,0.09466666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ko,macro_f1,0.04413592322846785,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ja,accuracy,0.056,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ja,macro_f1,0.012338017014208027,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,zh,accuracy,0.06333333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,zh,macro_f1,0.013820048092584889,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,en,accuracy,0.7726666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,en,macro_f1,0.7233559883134916,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ko,accuracy,0.2926666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ko,macro_f1,0.24324476578557652,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ja,accuracy,0.302,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ja,macro_f1,0.27145350776841476,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,zh,accuracy,0.2966666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,zh,macro_f1,0.2801235197456758,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,en,accuracy,0.7373333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,en,macro_f1,0.6617569440849941,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ko,accuracy,0.384,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ko,macro_f1,0.33492345919589306,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ja,accuracy,0.33466666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ja,macro_f1,0.2778288746366727,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,zh,accuracy,0.49466666666666664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,zh,macro_f1,0.45439768183742285,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,en,accuracy,0.7653333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,en,macro_f1,0.7239629585494083,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ko,accuracy,0.46,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ko,macro_f1,0.4122193508502268,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ja,accuracy,0.356,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ja,macro_f1,0.31472604365797363,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,zh,accuracy,0.44533333333333336,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,zh,macro_f1,0.39695545419408174,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,en,accuracy,0.7193333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,en,macro_f1,0.6422882605948919,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ko,accuracy,0.09266666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ko,macro_f1,0.03649736890996831,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ja,accuracy,0.06,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ja,macro_f1,0.015478019123588867,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,zh,accuracy,0.06666666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,zh,macro_f1,0.01774701819070604,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,accuracy,0.7706666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,macro_f1,0.7193830376007918,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,accuracy,0.2946666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,macro_f1,0.2434655175349977,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,accuracy,0.30666666666666664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,macro_f1,0.2720228447943533,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,accuracy,0.31333333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,macro_f1,0.30141281174370105,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,accuracy,0.718,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,macro_f1,0.6418310578644539,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ko,accuracy,0.08866666666666667,,,,,3000,1500
