model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,centroid_separation,32.945945739746094,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,centroid_norm,55.394432067871094,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,language_subspace_variance_fraction,0.49439651748107327,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,anisotropy,0.8767935049277229,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,geometry,,,stable_rank,4.006756131744715,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,ko,r1,0.5234375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,ko,mrr,0.6384197569385878,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,ja,r1,0.59375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,ja,mrr,0.7123149038173573,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,zh,r1,0.837890625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,en,zh,mrr,0.8911315879456388,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,en,r1,0.283203125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,en,mrr,0.39504841056800133,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,ja,r1,0.439453125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,ja,mrr,0.558994256277761,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,zh,r1,0.423828125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ko,zh,mrr,0.5335652281145624,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,en,r1,0.4765625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,en,mrr,0.5992536372253926,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,ko,r1,0.677734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,ko,mrr,0.7651188030163381,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,zh,r1,0.677734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,ja,zh,mrr,0.7583794578675811,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,en,r1,0.73828125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,en,mrr,0.820328451972764,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,ko,r1,0.5546875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,ko,mrr,0.6582510351292832,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,ja,r1,0.546875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,zh,ja,mrr,0.6622730640302775,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,ko,r1,0.736328125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,ko,mrr,0.8038088410840893,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,ja,r1,0.8984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,ja,mrr,0.9391011332417583,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,zh,r1,0.8984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,en,zh,mrr,0.9335157740554163,3,1024,2048
