model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,en,accuracy,0.3506666666666667,0.3506666666666667,0.3287453216272774,0.3506666666666667,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,en,macro_f1,0.3287453216272774,0.3506666666666667,0.3287453216272774,0.3287453216272774,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,ko,accuracy,0.037333333333333336,0.037333333333333336,0.014448376554206423,0.3506666666666667,0.31333333333333335,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,ko,macro_f1,0.014448376554206423,0.037333333333333336,0.014448376554206423,0.3287453216272774,0.31429694507307093,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,ja,accuracy,0.06466666666666666,0.06466666666666666,0.016519146917665803,0.3506666666666667,0.28600000000000003,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,ja,macro_f1,0.016519146917665803,0.06466666666666666,0.016519146917665803,0.3287453216272774,0.31222617470961156,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,zh,accuracy,0.244,0.244,0.18822255774752877,0.3506666666666667,0.10666666666666669,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,en,zh,macro_f1,0.18822255774752877,0.244,0.18822255774752877,0.3287453216272774,0.1405227638797486,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,en,accuracy,0.3506666666666667,0.3506666666666667,0.3287453216272774,0.3506666666666667,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,en,macro_f1,0.3287453216272774,0.3506666666666667,0.3287453216272774,0.3287453216272774,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,ko,accuracy,0.037333333333333336,0.037333333333333336,0.014448376554206423,0.3506666666666667,0.31333333333333335,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,ko,macro_f1,0.014448376554206423,0.037333333333333336,0.014448376554206423,0.3287453216272774,0.31429694507307093,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,ja,accuracy,0.06466666666666666,0.06466666666666666,0.016519146917665803,0.3506666666666667,0.28600000000000003,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,ja,macro_f1,0.016519146917665803,0.06466666666666666,0.016519146917665803,0.3287453216272774,0.31222617470961156,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,zh,accuracy,0.244,0.244,0.18822255774752877,0.3506666666666667,0.10666666666666669,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,global-centered,en,zh,macro_f1,0.18822255774752877,0.244,0.18822255774752877,0.3287453216272774,0.1405227638797486,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,per-language-centered,en,en,accuracy,0.3506666666666667,0.3506666666666667,0.3287453216272774,0.3506666666666667,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,0,0.0,last_token,per-language-centered,en,en,macro_f1,0.3287453216272774,0.3506666666666667,0.3287453216272774,0.3287453216272774,0.0,3000,3000,1500,60
