model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,,,512,centroid_norm,0.9496034979820251
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,,,512,within_language_cosine,0.9015545331801921
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,,,512,stable_rank,1.4239628903724637
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,,,512,centroid_norm,0.9415696859359741
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,,,512,within_language_cosine,0.8863314574478657
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,,,512,stable_rank,1.3797157293066362
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,,,512,centroid_norm,0.9932417273521423
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,,,512,within_language_cosine,0.986502750045866
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,,,512,stable_rank,1.2116612154929585
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,,,512,centroid_norm,0.952608585357666
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,,,512,within_language_cosine,0.9072820435764738
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,,,512,stable_rank,1.5436983440966243
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ko,512,matched_cosine,0.9386454820632935
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ko,512,unmatched_cosine,0.9029120206832886
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ko,512,cosine_margin,0.03573346138000488
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ja,512,matched_cosine,0.42712870240211487
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ja,512,unmatched_cosine,0.41961413621902466
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,ja,512,cosine_margin,0.00751456618309021
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,zh,512,matched_cosine,0.42483004927635193
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,zh,512,unmatched_cosine,0.38731610774993896
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,en,zh,512,cosine_margin,0.037513941526412964
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,en,512,matched_cosine,0.9386454820632935
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,en,512,unmatched_cosine,0.897234320640564
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,en,512,cosine_margin,0.04141116142272949
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,ja,512,matched_cosine,0.4232840836048126
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,ja,512,unmatched_cosine,0.4185689687728882
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,ja,512,cosine_margin,0.0047151148319244385
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,zh,512,matched_cosine,0.41013985872268677
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,zh,512,unmatched_cosine,0.3847690224647522
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ko,zh,512,cosine_margin,0.02537083625793457
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,en,512,matched_cosine,0.42712870240211487
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,en,512,unmatched_cosine,0.4189297556877136
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,en,512,cosine_margin,0.008198946714401245
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,ko,512,matched_cosine,0.4232840836048126
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,ko,512,unmatched_cosine,0.41698652505874634
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,ko,512,cosine_margin,0.006297558546066284
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,zh,512,matched_cosine,0.9560672044754028
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,zh,512,unmatched_cosine,0.944599986076355
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,ja,zh,512,cosine_margin,0.011467218399047852
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,zh,en,512,matched_cosine,0.42483004927635193
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,zh,en,512,unmatched_cosine,0.38952094316482544
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,zh,en,512,cosine_margin,0.03530910611152649
Qwen/Qwen2.5-0.5B,0,0.0,last_token,,zh,ko,512,matched_cosine,0.41013985872268677
