model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,ko,r1,0.560546875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,ko,mrr,0.6799383635752078,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,ja,r1,0.693359375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,ja,mrr,0.7904402941662543,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,zh,r1,0.861328125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,en,zh,mrr,0.9112075188145778,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,en,r1,0.259765625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,en,mrr,0.3521068451256352,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,ja,r1,0.505859375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,ja,mrr,0.620130389033301,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,zh,r1,0.421875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ko,zh,mrr,0.539308521576397,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,en,r1,0.49609375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,en,mrr,0.6082637852137671,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,ko,r1,0.728515625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,ko,mrr,0.7933719627882894,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,zh,r1,0.732421875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,ja,zh,mrr,0.8045451685328651,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,en,r1,0.7578125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,en,mrr,0.8296961797525817,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,ko,r1,0.578125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,ko,mrr,0.6887150851434244,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,ja,r1,0.6640625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,last_token,normal,,zh,ja,mrr,0.7661806546105527,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,ko,r1,0.171875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,ko,mrr,0.27470544034983235,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,ja,r1,0.6796875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,ja,mrr,0.7849249628049534,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,zh,r1,0.830078125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,en,zh,mrr,0.8841731533151518,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,ko,en,r1,0.361328125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,ko,en,mrr,0.46764864024332764,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,ko,ja,r1,0.5703125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,ko,ja,mrr,0.6742021890420345,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,ko,zh,r1,0.40625,1024,2048,metric,,,,
