record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,Qwen/Qwen2.5-0.5B,last_token,language,,en,accuracy,0.764,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,en,macro_f1,0.6993924137157831,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ko,accuracy,0.19266666666666668,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ko,macro_f1,0.11738309936515115,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ja,accuracy,0.2693333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,ja,macro_f1,0.20761344404407672,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,zh,accuracy,0.6333333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,language,,zh,macro_f1,0.5721360264581423,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,en,accuracy,0.7913333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,en,macro_f1,0.7472264793006754,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ko,accuracy,0.28,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ko,macro_f1,0.21296457269705907,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ja,accuracy,0.38,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,ja,macro_f1,0.344688734921962,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,zh,accuracy,0.6,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,language,,zh,macro_f1,0.5556908596070503,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,en,accuracy,0.758,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,en,macro_f1,0.6955440028266077,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ko,accuracy,0.216,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ko,macro_f1,0.14732297048016813,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ja,accuracy,0.20333333333333334,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,ja,macro_f1,0.13926108065754395,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,zh,accuracy,0.5526666666666666,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,normal,,zh,macro_f1,0.5150353532539673,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,en,accuracy,0.7893333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,en,macro_f1,0.7340058948520222,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,ko,accuracy,0.168,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,ko,macro_f1,0.09594113176683429,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,ja,accuracy,0.132,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,ja,macro_f1,0.07461259225903144,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,zh,accuracy,0.49066666666666664,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,normal,,zh,macro_f1,0.4573279570674612,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,en,accuracy,0.7626666666666667,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,en,macro_f1,0.6962590526595446,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,ko,accuracy,0.19133333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,ko,macro_f1,0.11821541206033484,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,ja,accuracy,0.268,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,ja,macro_f1,0.20659082286503483,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,zh,accuracy,0.6313333333333333,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,last_token,pca,,zh,macro_f1,0.5686200025943161,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,pca,,en,accuracy,0.792,,,,,3000,1500
metric,Qwen/Qwen2.5-0.5B,mean,pca,,en,macro_f1,0.7436416764486798,,,,,3000,1500
