model,layer,relative_position,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,18,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,18,0.0,en,ja,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,18,0.0,en,zh,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,18,0.0,ko,en,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,18,0.0,ko,ja,r1,0.033203125,512
Qwen/Qwen2.5-0.5B,18,0.0,ko,zh,r1,0.0234375,512
Qwen/Qwen2.5-0.5B,18,0.0,ja,en,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,18,0.0,ja,ko,r1,0.033203125,512
Qwen/Qwen2.5-0.5B,18,0.0,ja,zh,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,18,0.0,zh,en,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,18,0.0,zh,ko,r1,0.015625,512
Qwen/Qwen2.5-0.5B,18,0.0,zh,ja,r1,0.07421875,512
Qwen/Qwen2.5-0.5B,19,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,19,0.0,en,ja,r1,0.029296875,512
Qwen/Qwen2.5-0.5B,19,0.0,en,zh,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,19,0.0,ko,en,r1,0.015625,512
Qwen/Qwen2.5-0.5B,19,0.0,ko,ja,r1,0.03125,512
Qwen/Qwen2.5-0.5B,19,0.0,ko,zh,r1,0.0234375,512
Qwen/Qwen2.5-0.5B,19,0.0,ja,en,r1,0.041015625,512
Qwen/Qwen2.5-0.5B,19,0.0,ja,ko,r1,0.03125,512
Qwen/Qwen2.5-0.5B,19,0.0,ja,zh,r1,0.099609375,512
Qwen/Qwen2.5-0.5B,19,0.0,zh,en,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,19,0.0,zh,ko,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,19,0.0,zh,ja,r1,0.0703125,512
Qwen/Qwen2.5-0.5B,20,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,20,0.0,en,ja,r1,0.025390625,512
Qwen/Qwen2.5-0.5B,20,0.0,en,zh,r1,0.0625,512
Qwen/Qwen2.5-0.5B,20,0.0,ko,en,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,20,0.0,ko,ja,r1,0.03125,512
Qwen/Qwen2.5-0.5B,20,0.0,ko,zh,r1,0.021484375,512
Qwen/Qwen2.5-0.5B,20,0.0,ja,en,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,20,0.0,ja,ko,r1,0.033203125,512
Qwen/Qwen2.5-0.5B,20,0.0,ja,zh,r1,0.099609375,512
Qwen/Qwen2.5-0.5B,20,0.0,zh,en,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,20,0.0,zh,ko,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,20,0.0,zh,ja,r1,0.07421875,512
Qwen/Qwen2.5-0.5B,21,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,21,0.0,en,ja,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,21,0.0,en,zh,r1,0.05859375,512
Qwen/Qwen2.5-0.5B,21,0.0,ko,en,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,21,0.0,ko,ja,r1,0.03125,512
Qwen/Qwen2.5-0.5B,21,0.0,ko,zh,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,21,0.0,ja,en,r1,0.044921875,512
Qwen/Qwen2.5-0.5B,21,0.0,ja,ko,r1,0.029296875,512
Qwen/Qwen2.5-0.5B,21,0.0,ja,zh,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,21,0.0,zh,en,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,21,0.0,zh,ko,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,21,0.0,zh,ja,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,22,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,22,0.0,en,ja,r1,0.029296875,512
Qwen/Qwen2.5-0.5B,22,0.0,en,zh,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,22,0.0,ko,en,r1,0.015625,512
Qwen/Qwen2.5-0.5B,22,0.0,ko,ja,r1,0.03515625,512
Qwen/Qwen2.5-0.5B,22,0.0,ko,zh,r1,0.025390625,512
Qwen/Qwen2.5-0.5B,22,0.0,ja,en,r1,0.041015625,512
Qwen/Qwen2.5-0.5B,22,0.0,ja,ko,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,22,0.0,ja,zh,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,22,0.0,zh,en,r1,0.072265625,512
Qwen/Qwen2.5-0.5B,22,0.0,zh,ko,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,22,0.0,zh,ja,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,23,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,23,0.0,en,ja,r1,0.021484375,512
Qwen/Qwen2.5-0.5B,23,0.0,en,zh,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,23,0.0,ko,en,r1,0.021484375,512
Qwen/Qwen2.5-0.5B,23,0.0,ko,ja,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,23,0.0,ko,zh,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,23,0.0,ja,en,r1,0.05078125,512
Qwen/Qwen2.5-0.5B,23,0.0,ja,ko,r1,0.033203125,512
Qwen/Qwen2.5-0.5B,23,0.0,ja,zh,r1,0.109375,512
Qwen/Qwen2.5-0.5B,23,0.0,zh,en,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,23,0.0,zh,ko,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,23,0.0,zh,ja,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,24,0.0,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,24,0.0,en,ja,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.0,en,zh,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.0,ko,en,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,24,0.0,ko,ja,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,24,0.0,ko,zh,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,24,0.0,ja,en,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.0,ja,ko,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,24,0.0,ja,zh,r1,0.0703125,512
Qwen/Qwen2.5-0.5B,24,0.0,zh,en,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,24,0.0,zh,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,24,0.0,zh,ja,r1,0.05078125,512
Qwen/Qwen2.5-0.5B,18,0.25,en,ko,r1,0.0703125,512
Qwen/Qwen2.5-0.5B,18,0.25,en,ja,r1,0.076171875,512
Qwen/Qwen2.5-0.5B,18,0.25,en,zh,r1,0.1796875,512
Qwen/Qwen2.5-0.5B,18,0.25,ko,en,r1,0.0625,512
Qwen/Qwen2.5-0.5B,18,0.25,ko,ja,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,18,0.25,ko,zh,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,18,0.25,ja,en,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,18,0.25,ja,ko,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,18,0.25,ja,zh,r1,0.109375,512
Qwen/Qwen2.5-0.5B,18,0.25,zh,en,r1,0.2109375,512
Qwen/Qwen2.5-0.5B,18,0.25,zh,ko,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,18,0.25,zh,ja,r1,0.12109375,512
Qwen/Qwen2.5-0.5B,19,0.25,en,ko,r1,0.072265625,512
Qwen/Qwen2.5-0.5B,19,0.25,en,ja,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,19,0.25,en,zh,r1,0.201171875,512
Qwen/Qwen2.5-0.5B,19,0.25,ko,en,r1,0.068359375,512
Qwen/Qwen2.5-0.5B,19,0.25,ko,ja,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,19,0.25,ko,zh,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,19,0.25,ja,en,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,19,0.25,ja,ko,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,19,0.25,ja,zh,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,19,0.25,zh,en,r1,0.21875,512
Qwen/Qwen2.5-0.5B,19,0.25,zh,ko,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,19,0.25,zh,ja,r1,0.119140625,512
Qwen/Qwen2.5-0.5B,20,0.25,en,ko,r1,0.0625,512
Qwen/Qwen2.5-0.5B,20,0.25,en,ja,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,20,0.25,en,zh,r1,0.20703125,512
Qwen/Qwen2.5-0.5B,20,0.25,ko,en,r1,0.05859375,512
Qwen/Qwen2.5-0.5B,20,0.25,ko,ja,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,20,0.25,ko,zh,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,20,0.25,ja,en,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,20,0.25,ja,ko,r1,0.099609375,512
Qwen/Qwen2.5-0.5B,20,0.25,ja,zh,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,20,0.25,zh,en,r1,0.203125,512
Qwen/Qwen2.5-0.5B,20,0.25,zh,ko,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,20,0.25,zh,ja,r1,0.12109375,512
Qwen/Qwen2.5-0.5B,21,0.25,en,ko,r1,0.076171875,512
Qwen/Qwen2.5-0.5B,21,0.25,en,ja,r1,0.0703125,512
Qwen/Qwen2.5-0.5B,21,0.25,en,zh,r1,0.2578125,512
Qwen/Qwen2.5-0.5B,21,0.25,ko,en,r1,0.044921875,512
Qwen/Qwen2.5-0.5B,21,0.25,ko,ja,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,21,0.25,ko,zh,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,21,0.25,ja,en,r1,0.064453125,512
Qwen/Qwen2.5-0.5B,21,0.25,ja,ko,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,21,0.25,ja,zh,r1,0.12890625,512
Qwen/Qwen2.5-0.5B,21,0.25,zh,en,r1,0.23828125,512
Qwen/Qwen2.5-0.5B,21,0.25,zh,ko,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,21,0.25,zh,ja,r1,0.123046875,512
Qwen/Qwen2.5-0.5B,22,0.25,en,ko,r1,0.06640625,512
Qwen/Qwen2.5-0.5B,22,0.25,en,ja,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,22,0.25,en,zh,r1,0.25,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,en,r1,0.0390625,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,ja,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,zh,r1,0.07421875,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,en,r1,0.052734375,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,ko,r1,0.11328125,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,zh,r1,0.123046875,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,en,r1,0.212890625,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,ko,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,ja,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,23,0.25,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,23,0.25,en,ja,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,23,0.25,en,zh,r1,0.232421875,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,en,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,ja,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,zh,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,en,r1,0.044921875,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,ko,r1,0.052734375,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,zh,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,en,r1,0.205078125,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,ja,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,24,0.25,en,ko,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,en,ja,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,24,0.25,en,zh,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,en,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,ja,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,zh,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,ja,en,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,ja,ko,r1,0.001953125,512
