model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r1,256,512,raw,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r1,256,512,centered,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r1,256,512,aligned,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r1,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r5,256,512,raw,ok,0.015625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r5,256,512,centered,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r5,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r5,256,512,aligned,ok,0.01953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r5,256,512,delta,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r10,256,512,raw,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r10,256,512,centered,ok,0.044921875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r10,256,512,centered_delta,ok,0.02734375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r10,256,512,aligned,ok,0.0234375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,r10,256,512,delta,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,mrr,256,512,raw,ok,0.014996462888940385
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,mrr,256,512,centered,ok,0.02035435453167178
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,mrr,256,512,centered_delta,ok,0.005357891642731396
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,mrr,256,512,aligned,ok,0.016387436327677682
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,mrr,256,512,delta,ok,0.0013909734387372967
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r1,256,512,raw,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r1,256,512,centered,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r1,256,512,aligned,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r1,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r5,256,512,raw,ok,0.01171875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r5,256,512,centered,ok,0.013671875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r5,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r5,256,512,aligned,ok,0.01171875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r5,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r10,256,512,raw,ok,0.025390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r10,256,512,centered,ok,0.03125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r10,256,512,centered_delta,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r10,256,512,aligned,ok,0.029296875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,r10,256,512,delta,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,mrr,256,512,raw,ok,0.013758199859964921
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,mrr,256,512,centered,ok,0.01966890761461166
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,mrr,256,512,centered_delta,ok,0.005910707754646739
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,mrr,256,512,aligned,ok,0.01857555490124917
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,mrr,256,512,delta,ok,0.004817355041284249
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r1,256,512,raw,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r1,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r1,256,512,centered_delta,ok,0.0
