model,layer,normalized_depth,pooling,metric,estimate,lower,upper,confidence,n_resamples,n,directions
Qwen/Qwen2.5-0.5B,0,0.0,last_token,r1,0.0030924479166666665,0.0009765625,0.006022135416666667,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,r1,0.016764322916666668,0.011555989583333334,0.022786458333333332,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,r1,0.038248697916666664,0.03222249348958334,0.04492594401041666,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,3,0.125,last_token,r1,0.047200520833333336,0.040364583333333336,0.055338541666666664,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,r1,0.08968098958333333,0.08040364583333333,0.09961751302083333,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,r1,0.27294921875,0.25764567057291665,0.29036865234375,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,6,0.25,last_token,r1,0.22639973958333334,0.2109375,0.24316813151041666,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,r1,0.2726236979166667,0.2543863932291667,0.2924886067708333,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,r1,0.3580729166666667,0.33723551432291665,0.38103841145833334,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,9,0.375,last_token,r1,0.45703125,0.4363606770833333,0.47869466145833334,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,r1,0.50146484375,0.4817586263020833,0.5242635091145833,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,last_token,r1,0.7262369791666666,0.70621337890625,0.7462605794270833,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,12,0.5,last_token,r1,0.68017578125,0.6590128580729167,0.7008463541666666,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,last_token,r1,0.6941731770833334,0.6752888997395834,0.71435546875,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,last_token,r1,0.6486002604166666,0.6285807291666666,0.6705769856770833,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,15,0.625,last_token,r1,0.7705078125,0.75244140625,0.789404296875,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,last_token,r1,0.7003580729166666,0.6801676432291667,0.7210367838541667,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,last_token,r1,0.6534830729166666,0.6337849934895834,0.6759440104166666,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,18,0.75,last_token,r1,0.5458984375,0.5262044270833334,0.5686848958333334,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,19,0.7916666666666666,last_token,r1,0.5139973958333334,0.4943033854166667,0.5359700520833334,0.95,1000,512,12
