model,split,language,sentence_id,characters,bytes,tokens,tokens_per_100_characters,bytes_per_token,characters_per_token,token_ratio_to_en
trillionlabs/Tri-0.5B-Base,devtest,en,4,175,175,37,21.142857142857142,4.72972972972973,4.72972972972973,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,6,35,35,10,28.571428571428573,3.5,3.5,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,7,128,128,24,18.75,5.333333333333333,5.333333333333333,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,12,133,133,30,22.55639097744361,4.433333333333334,4.433333333333334,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,14,213,213,41,19.248826291079812,5.195121951219512,5.195121951219512,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,15,254,254,44,17.322834645669293,5.7727272727272725,5.7727272727272725,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,16,195,197,41,21.025641025641026,4.804878048780488,4.7560975609756095,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,17,117,117,25,21.367521367521366,4.68,4.68,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,19,275,277,57,20.727272727272727,4.859649122807017,4.824561403508772,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,22,187,187,35,18.71657754010695,5.3428571428571425,5.3428571428571425,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,23,191,193,39,20.418848167539267,4.948717948717949,4.897435897435898,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,24,151,151,28,18.543046357615893,5.392857142857143,5.392857142857143,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,28,109,109,23,21.10091743119266,4.739130434782608,4.739130434782608,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,30,251,255,50,19.9203187250996,5.1,5.02,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,31,253,253,48,18.972332015810277,5.270833333333333,5.270833333333333,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,34,72,72,13,18.055555555555557,5.538461538461538,5.538461538461538,1.0
trillionlabs/Tri-0.5B-Base,devtest,en,37,115,115,23,20.0,5.0,5.0,1.0
