model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,ko,r1,0.56640625,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,ko,mrr,0.6420261147614328,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,ja,r1,0.359375,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,ja,mrr,0.4457681390349972,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,zh,r1,0.5234375,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,en,zh,mrr,0.6038183035139943,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,en,r1,0.4765625,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,en,mrr,0.5500728277266224,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,ja,r1,0.330078125,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,ja,mrr,0.41441408260860124,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,zh,r1,0.23046875,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ko,zh,mrr,0.3204588676849415,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ja,en,r1,0.521484375,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ja,en,mrr,0.606827839994245,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ja,ko,r1,0.484375,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ja,ko,mrr,0.5614512435973154,1024,2048
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,normal,,ja,zh,r1,0.38671875,1024,2048
