model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,centroid_separation,105.86750030517578,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,centroid_norm,567.3505249023438,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,language_subspace_variance_fraction,0.3509084435344539,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,anisotropy,0.9710873269754847,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,geometry,,,stable_rank,3.941271806041356,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,ko,r1,0.068359375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,ko,mrr,0.12274323476550256,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,ja,r1,0.01953125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,ja,mrr,0.04802597270167305,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,zh,r1,0.08203125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,en,zh,mrr,0.14351192577645833,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,en,r1,0.109375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,en,mrr,0.17051514639411813,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,ja,r1,0.033203125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,ja,mrr,0.06012308849310684,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,zh,r1,0.033203125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ko,zh,mrr,0.07167246809298777,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,en,r1,0.05078125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,en,mrr,0.0990468560471945,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,ko,r1,0.06640625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,ko,mrr,0.11139774143953202,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,zh,r1,0.0625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,ja,zh,mrr,0.11254839506315964,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,en,r1,0.21484375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,en,mrr,0.2865332201899343,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,ko,r1,0.05859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,ko,mrr,0.10008406357723963,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,ja,r1,0.03515625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,zh,ja,mrr,0.07384465902731849,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,ko,r1,0.138671875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,ko,mrr,0.20108778547358883,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,ja,r1,0.11328125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,ja,mrr,0.17102723405419204,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,zh,r1,0.234375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,en,zh,mrr,0.3041128651471833,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,ko,en,r1,0.12109375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,ko,en,mrr,0.18833228291628668,3,1024,2048
