model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,en,accuracy,0.3433333333333333,0.3433333333333333,0.3136883549295769,0.3433333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,en,macro_f1,0.3136883549295769,0.3433333333333333,0.3136883549295769,0.3136883549295769,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,ko,accuracy,0.07333333333333333,0.07333333333333333,0.030252093441953887,0.3433333333333333,0.27,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,ko,macro_f1,0.030252093441953887,0.07333333333333333,0.030252093441953887,0.3136883549295769,0.283436261487623,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,ja,accuracy,0.06933333333333333,0.06933333333333333,0.0375859576624173,0.3433333333333333,0.274,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,ja,macro_f1,0.0375859576624173,0.06933333333333333,0.0375859576624173,0.3136883549295769,0.2761023972671596,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,zh,accuracy,0.12666666666666668,0.12666666666666668,0.06875581676141101,0.3433333333333333,0.21666666666666665,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,en,zh,macro_f1,0.06875581676141101,0.12666666666666668,0.06875581676141101,0.3136883549295769,0.2449325381681659,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,en,accuracy,0.3433333333333333,0.3433333333333333,0.3136883549295769,0.3433333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,en,macro_f1,0.3136883549295769,0.3433333333333333,0.3136883549295769,0.3136883549295769,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,ko,accuracy,0.07333333333333333,0.07333333333333333,0.030252093441953887,0.3433333333333333,0.27,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,ko,macro_f1,0.030252093441953887,0.07333333333333333,0.030252093441953887,0.3136883549295769,0.283436261487623,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,ja,accuracy,0.06933333333333333,0.06933333333333333,0.0375859576624173,0.3433333333333333,0.274,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,ja,macro_f1,0.0375859576624173,0.06933333333333333,0.0375859576624173,0.3136883549295769,0.2761023972671596,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,zh,accuracy,0.12666666666666668,0.12666666666666668,0.06875581676141101,0.3433333333333333,0.21666666666666665,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,global-centered,en,zh,macro_f1,0.06875581676141101,0.12666666666666668,0.06875581676141101,0.3136883549295769,0.2449325381681659,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,en,accuracy,0.3433333333333333,0.3433333333333333,0.3136883549295769,0.3433333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,en,macro_f1,0.3136883549295769,0.3433333333333333,0.3136883549295769,0.3136883549295769,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,ko,accuracy,0.048666666666666664,0.048666666666666664,0.026982982340594104,0.3433333333333333,0.29466666666666663,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,ko,macro_f1,0.026982982340594104,0.048666666666666664,0.026982982340594104,0.3136883549295769,0.2867053725889828,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,ja,accuracy,0.07066666666666667,0.07066666666666667,0.04589682763487487,0.3433333333333333,0.27266666666666667,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,ja,macro_f1,0.04589682763487487,0.07066666666666667,0.04589682763487487,0.3136883549295769,0.26779152729470207,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,zh,accuracy,0.132,0.132,0.07462917400130505,0.3433333333333333,0.21133333333333332,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,per-language-centered,en,zh,macro_f1,0.07462917400130505,0.132,0.07462917400130505,0.3136883549295769,0.23905918092827189,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,en,accuracy,0.6893333333333334,0.6893333333333334,0.640082759957128,0.6893333333333334,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,en,macro_f1,0.640082759957128,0.6893333333333334,0.640082759957128,0.640082759957128,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,ko,accuracy,0.2966666666666667,0.2966666666666667,0.2205725660329011,0.6893333333333334,0.39266666666666666,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,ko,macro_f1,0.2205725660329011,0.2966666666666667,0.2205725660329011,0.640082759957128,0.41951019392422695,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,ja,accuracy,0.36933333333333335,0.36933333333333335,0.2889539705478746,0.6893333333333334,0.32,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,ja,macro_f1,0.2889539705478746,0.36933333333333335,0.2889539705478746,0.640082759957128,0.35112878940925346,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,zh,accuracy,0.4533333333333333,0.4533333333333333,0.39641349564848755,0.6893333333333334,0.23600000000000004,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,raw,en,zh,macro_f1,0.39641349564848755,0.4533333333333333,0.39641349564848755,0.640082759957128,0.2436692643086405,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,en,accuracy,0.6893333333333334,0.6893333333333334,0.640082759957128,0.6893333333333334,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,en,macro_f1,0.640082759957128,0.6893333333333334,0.640082759957128,0.640082759957128,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,ko,accuracy,0.2966666666666667,0.2966666666666667,0.2205725660329011,0.6893333333333334,0.39266666666666666,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,ko,macro_f1,0.2205725660329011,0.2966666666666667,0.2205725660329011,0.640082759957128,0.41951019392422695,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,ja,accuracy,0.36933333333333335,0.36933333333333335,0.2889539705478746,0.6893333333333334,0.32,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,ja,macro_f1,0.2889539705478746,0.36933333333333335,0.2889539705478746,0.640082759957128,0.35112878940925346,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,zh,accuracy,0.4533333333333333,0.4533333333333333,0.39641349564848755,0.6893333333333334,0.23600000000000004,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,global-centered,en,zh,macro_f1,0.39641349564848755,0.4533333333333333,0.39641349564848755,0.640082759957128,0.2436692643086405,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,en,accuracy,0.6893333333333334,0.6893333333333334,0.640082759957128,0.6893333333333334,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,en,macro_f1,0.640082759957128,0.6893333333333334,0.640082759957128,0.640082759957128,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ko,accuracy,0.316,0.316,0.2491415458667344,0.6893333333333334,0.37333333333333335,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ko,macro_f1,0.2491415458667344,0.316,0.2491415458667344,0.640082759957128,0.3909412140903936,3000,3000,1500,60
