model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,subspace_variance,language_subspace,1,,,,cumulative_explained_variance,0.9942642547642692,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,subspace_variance,language_subspace,2,,,,cumulative_explained_variance,0.997716010189386,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,subspace_variance,language_subspace,3,,,,cumulative_explained_variance,1.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,ko,mrr,0.019485124674048074,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,ja,mrr,0.009718872319866958,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,zh,r1,0.0078125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,en,zh,mrr,0.01989686972326079,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,en,mrr,0.01963767083477072,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,ja,mrr,0.009352532642148003,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ko,zh,mrr,0.01272162696384043,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,en,mrr,0.005549159186088781,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,ko,mrr,0.006638898651371491,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,ja,zh,mrr,0.006163294213209366,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,en,mrr,0.02112778524862627,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,ko,mrr,0.014380264145328404,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,raw,0,,zh,ja,mrr,0.009885857488867536,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,raw,0,,,,accuracy,0.5234375,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,raw,0,,,,macro_f1,0.3999096814416304,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,en,ko,mrr,0.014776990830462116,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,en,ja,r1,0.001953125,1024,2048
