record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,en,accuracy,0.7393333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,en,macro_f1,0.6604918561083222,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ko,accuracy,0.29133333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ko,macro_f1,0.2409963809001978,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ja,accuracy,0.388,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,ja,macro_f1,0.2882702345356561,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,zh,accuracy,0.422,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,language,,zh,macro_f1,0.3771504346735425,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,en,accuracy,0.784,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,en,macro_f1,0.7168255258054962,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ko,accuracy,0.43733333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ko,macro_f1,0.3895935076657473,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ja,accuracy,0.462,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,ja,macro_f1,0.3957220850369306,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,zh,accuracy,0.43133333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,language,,zh,macro_f1,0.38900360188165173,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,en,accuracy,0.7186666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,en,macro_f1,0.6426625377061335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ko,accuracy,0.09466666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ko,macro_f1,0.04413592322846785,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ja,accuracy,0.056,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,ja,macro_f1,0.012338017014208027,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,zh,accuracy,0.06333333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,normal,,zh,macro_f1,0.013820048092584889,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,en,accuracy,0.7726666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,en,macro_f1,0.7233559883134916,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ko,accuracy,0.2926666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ko,macro_f1,0.24324476578557652,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ja,accuracy,0.302,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,ja,macro_f1,0.27145350776841476,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,zh,accuracy,0.2966666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,normal,,zh,macro_f1,0.2801235197456758,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,en,accuracy,0.7313333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,en,macro_f1,0.6683527041082582,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ko,accuracy,0.42333333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ko,macro_f1,0.34253805679733973,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ja,accuracy,0.44,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,ja,macro_f1,0.3933354605746714,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,zh,accuracy,0.48133333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,pca,,zh,macro_f1,0.4502230767785536,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,en,accuracy,0.7533333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,en,macro_f1,0.6905162778492713,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ko,accuracy,0.4673333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ko,macro_f1,0.3912163815770824,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ja,accuracy,0.43133333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,ja,macro_f1,0.3972327687120095,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,zh,accuracy,0.4146666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,pca,,zh,macro_f1,0.36576264454134105,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,en,accuracy,0.7206666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,en,macro_f1,0.6420130336674429,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ko,accuracy,0.094,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ko,macro_f1,0.023788497146051975,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ja,accuracy,0.058,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,0,ja,macro_f1,0.013879047916585445,,,,,3000,1500
