model,layer,relative_position,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,4,0.0,en,ko,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,4,0.0,en,ja,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,4,0.0,en,zh,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,4,0.0,ko,en,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,4,0.0,ko,ja,r1,0.16015625,512
trillionlabs/Tri-0.5B-Base,4,0.0,ko,zh,r1,0.123046875,512
trillionlabs/Tri-0.5B-Base,4,0.0,ja,en,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,4,0.0,ja,ko,r1,0.193359375,512
trillionlabs/Tri-0.5B-Base,4,0.0,ja,zh,r1,0.1484375,512
trillionlabs/Tri-0.5B-Base,4,0.0,zh,en,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,4,0.0,zh,ko,r1,0.111328125,512
trillionlabs/Tri-0.5B-Base,4,0.0,zh,ja,r1,0.10546875,512
trillionlabs/Tri-0.5B-Base,5,0.0,en,ko,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,5,0.0,en,ja,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,5,0.0,en,zh,r1,0.078125,512
trillionlabs/Tri-0.5B-Base,5,0.0,ko,en,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,5,0.0,ko,ja,r1,0.16796875,512
trillionlabs/Tri-0.5B-Base,5,0.0,ko,zh,r1,0.11328125,512
trillionlabs/Tri-0.5B-Base,5,0.0,ja,en,r1,0.0859375,512
trillionlabs/Tri-0.5B-Base,5,0.0,ja,ko,r1,0.197265625,512
trillionlabs/Tri-0.5B-Base,5,0.0,ja,zh,r1,0.14453125,512
trillionlabs/Tri-0.5B-Base,5,0.0,zh,en,r1,0.087890625,512
trillionlabs/Tri-0.5B-Base,5,0.0,zh,ko,r1,0.111328125,512
trillionlabs/Tri-0.5B-Base,5,0.0,zh,ja,r1,0.119140625,512
trillionlabs/Tri-0.5B-Base,6,0.0,en,ko,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,6,0.0,en,ja,r1,0.03515625,512
trillionlabs/Tri-0.5B-Base,6,0.0,en,zh,r1,0.0546875,512
trillionlabs/Tri-0.5B-Base,6,0.0,ko,en,r1,0.072265625,512
trillionlabs/Tri-0.5B-Base,6,0.0,ko,ja,r1,0.142578125,512
trillionlabs/Tri-0.5B-Base,6,0.0,ko,zh,r1,0.099609375,512
trillionlabs/Tri-0.5B-Base,6,0.0,ja,en,r1,0.0703125,512
trillionlabs/Tri-0.5B-Base,6,0.0,ja,ko,r1,0.185546875,512
trillionlabs/Tri-0.5B-Base,6,0.0,ja,zh,r1,0.12890625,512
trillionlabs/Tri-0.5B-Base,6,0.0,zh,en,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,6,0.0,zh,ko,r1,0.099609375,512
trillionlabs/Tri-0.5B-Base,6,0.0,zh,ja,r1,0.109375,512
trillionlabs/Tri-0.5B-Base,7,0.0,en,ko,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,7,0.0,en,ja,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,7,0.0,en,zh,r1,0.005859375,512
trillionlabs/Tri-0.5B-Base,7,0.0,ko,en,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,7,0.0,ko,ja,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,7,0.0,ko,zh,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,7,0.0,ja,en,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,7,0.0,ja,ko,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,7,0.0,ja,zh,r1,0.07421875,512
trillionlabs/Tri-0.5B-Base,7,0.0,zh,en,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,7,0.0,zh,ko,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,7,0.0,zh,ja,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,8,0.0,en,ko,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,8,0.0,en,ja,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,8,0.0,en,zh,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,8,0.0,ko,en,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,8,0.0,ko,ja,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,8,0.0,ko,zh,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,8,0.0,ja,en,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,8,0.0,ja,ko,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,8,0.0,ja,zh,r1,0.07421875,512
trillionlabs/Tri-0.5B-Base,8,0.0,zh,en,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,8,0.0,zh,ko,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,8,0.0,zh,ja,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,9,0.0,en,ko,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,9,0.0,en,ja,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,9,0.0,en,zh,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,9,0.0,ko,en,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,9,0.0,ko,ja,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,9,0.0,ko,zh,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,9,0.0,ja,en,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,9,0.0,ja,ko,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,9,0.0,ja,zh,r1,0.07421875,512
trillionlabs/Tri-0.5B-Base,9,0.0,zh,en,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,9,0.0,zh,ko,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,9,0.0,zh,ja,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,4,0.25,en,ko,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,4,0.25,en,ja,r1,0.03515625,512
trillionlabs/Tri-0.5B-Base,4,0.25,en,zh,r1,0.046875,512
trillionlabs/Tri-0.5B-Base,4,0.25,ko,en,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,4,0.25,ko,ja,r1,0.109375,512
trillionlabs/Tri-0.5B-Base,4,0.25,ko,zh,r1,0.056640625,512
trillionlabs/Tri-0.5B-Base,4,0.25,ja,en,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,4,0.25,ja,ko,r1,0.09375,512
trillionlabs/Tri-0.5B-Base,4,0.25,ja,zh,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,4,0.25,zh,en,r1,0.0703125,512
trillionlabs/Tri-0.5B-Base,4,0.25,zh,ko,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,4,0.25,zh,ja,r1,0.052734375,512
trillionlabs/Tri-0.5B-Base,5,0.25,en,ko,r1,0.046875,512
trillionlabs/Tri-0.5B-Base,5,0.25,en,ja,r1,0.048828125,512
trillionlabs/Tri-0.5B-Base,5,0.25,en,zh,r1,0.056640625,512
trillionlabs/Tri-0.5B-Base,5,0.25,ko,en,r1,0.048828125,512
trillionlabs/Tri-0.5B-Base,5,0.25,ko,ja,r1,0.119140625,512
trillionlabs/Tri-0.5B-Base,5,0.25,ko,zh,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,5,0.25,ja,en,r1,0.052734375,512
trillionlabs/Tri-0.5B-Base,5,0.25,ja,ko,r1,0.107421875,512
trillionlabs/Tri-0.5B-Base,5,0.25,ja,zh,r1,0.056640625,512
trillionlabs/Tri-0.5B-Base,5,0.25,zh,en,r1,0.0703125,512
trillionlabs/Tri-0.5B-Base,5,0.25,zh,ko,r1,0.064453125,512
trillionlabs/Tri-0.5B-Base,5,0.25,zh,ja,r1,0.0625,512
trillionlabs/Tri-0.5B-Base,6,0.25,en,ko,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,6,0.25,en,ja,r1,0.0546875,512
trillionlabs/Tri-0.5B-Base,6,0.25,en,zh,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,6,0.25,ko,en,r1,0.056640625,512
trillionlabs/Tri-0.5B-Base,6,0.25,ko,ja,r1,0.125,512
trillionlabs/Tri-0.5B-Base,6,0.25,ko,zh,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,6,0.25,ja,en,r1,0.0625,512
trillionlabs/Tri-0.5B-Base,6,0.25,ja,ko,r1,0.119140625,512
trillionlabs/Tri-0.5B-Base,6,0.25,ja,zh,r1,0.064453125,512
trillionlabs/Tri-0.5B-Base,6,0.25,zh,en,r1,0.08984375,512
trillionlabs/Tri-0.5B-Base,6,0.25,zh,ko,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,6,0.25,zh,ja,r1,0.078125,512
trillionlabs/Tri-0.5B-Base,7,0.25,en,ko,r1,0.087890625,512
trillionlabs/Tri-0.5B-Base,7,0.25,en,ja,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,7,0.25,en,zh,r1,0.103515625,512
trillionlabs/Tri-0.5B-Base,7,0.25,ko,en,r1,0.08984375,512
trillionlabs/Tri-0.5B-Base,7,0.25,ko,ja,r1,0.140625,512
trillionlabs/Tri-0.5B-Base,7,0.25,ko,zh,r1,0.099609375,512
trillionlabs/Tri-0.5B-Base,7,0.25,ja,en,r1,0.072265625,512
trillionlabs/Tri-0.5B-Base,7,0.25,ja,ko,r1,0.138671875,512
trillionlabs/Tri-0.5B-Base,7,0.25,ja,zh,r1,0.087890625,512
trillionlabs/Tri-0.5B-Base,7,0.25,zh,en,r1,0.09765625,512
trillionlabs/Tri-0.5B-Base,7,0.25,zh,ko,r1,0.10546875,512
trillionlabs/Tri-0.5B-Base,7,0.25,zh,ja,r1,0.099609375,512
