model,layer,normalized_depth,pooling,source_language,target_language,condition,metric,value,n
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,raw,r1,0.00390625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,raw,r5,0.015625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,raw,r10,0.04296875,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,raw,mrr,0.019485124674048074,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,raw,r1,0.001953125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,raw,r5,0.01171875,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,raw,r10,0.01171875,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,raw,mrr,0.009718872319866958,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,raw,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,raw,r5,0.029296875,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,raw,r10,0.04296875,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,raw,mrr,0.01989686972326079,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,raw,r1,0.00390625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,raw,r5,0.015625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,raw,r10,0.033203125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,raw,mrr,0.01963767083477072,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,raw,r1,0.001953125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,raw,r5,0.009765625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,raw,r10,0.009765625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,raw,mrr,0.009352532642148003,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,raw,r1,0.001953125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,raw,r5,0.015625,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,raw,r10,0.03125,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,raw,mrr,0.01272162696384043,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,raw,r1,0.0,512
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,raw,r5,0.0,512
