model,layer,normalized_depth,pooling,metric,estimate,lower,upper,confidence,n_resamples,n,directions
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,r1,0.0029296875,0.0011393229166666667,0.005208333333333333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,r1,0.011393229166666666,0.008138020833333334,0.014811197916666666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,r1,0.024088541666666668,0.018717447916666668,0.029459635416666668,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,r1,0.031901041666666664,0.026041666666666668,0.0380859375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,r1,0.0341796875,0.028157552083333332,0.040852864583333336,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,r1,0.0361328125,0.030269368489583337,0.04264729817708333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,r1,0.06949869791666667,0.060872395833333336,0.07829182942708333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,r1,0.4334309895833333,0.41259765625,0.4532877604166667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,r1,0.4578450520833333,0.4384765625,0.4781901041666667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,r1,0.5572916666666666,0.53531494140625,0.5779622395833334,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,r1,0.5984700520833334,0.5763346354166666,0.6201171875,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,r1,0.6064453125,0.5839803059895834,0.6284342447916667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,r1,0.6603190104166666,0.6378580729166666,0.6813151041666666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,r1,0.6888020833333334,0.6668212890625,0.7097981770833334,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,r1,0.6580403645833334,0.6349283854166666,0.6784016927083333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,r1,0.6271158854166666,0.6046468098958333,0.6476277669270833,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,last_token,r1,0.6643880208333334,0.6427327473958333,0.6852213541666666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,last_token,r1,0.599609375,0.5781168619791667,0.6210978190104166,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,last_token,r1,0.5465494791666666,0.5255533854166666,0.56868896484375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,last_token,r1,0.5760091145833334,0.55517578125,0.5976603190104166,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,last_token,r1,0.6863606770833334,0.66812744140625,0.7055704752604166,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,last_token,r1,0.64599609375,0.6251627604166666,0.6652180989583333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,r1,0.6458333333333334,0.62451171875,0.66634521484375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,r1,0.4659830729166667,0.44677327473958334,0.48535563151041666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,r1,0.232421875,0.21728515625,0.24756266276041666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,mean,r1,0.6295572916666666,0.6069132486979166,0.6505533854166666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,mean,r1,0.4373372395833333,0.41568603515625,0.45882975260416664,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,mean,r1,0.4716796875,0.4513346354166667,0.4934895833333333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,mean,r1,0.5154622395833334,0.4959309895833333,0.53564453125,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,r1,0.6396484375,0.6197916666666666,0.6596761067708333,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,r1,0.6863606770833334,0.6642252604166666,0.7059000651041667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,mean,r1,0.7672526041666666,0.7480428059895834,0.7854899088541667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,r1,0.2908528645833333,0.27310384114583336,0.30941569010416664,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,r1,0.3095703125,0.29166259765625,0.3278076171875,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,mean,r1,0.3225911458333333,0.3048502604166667,0.34033610026041666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,r1,0.3505859375,0.33349202473958334,0.36995849609375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,r1,0.3587239583333333,0.34114176432291665,0.3781005859375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,mean,r1,0.3776041666666667,0.36001790364583336,0.3966471354166667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,r1,0.4147135416666667,0.3961466471354167,0.43522542317708335,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,r1,0.4261067708333333,0.40754801432291665,0.4464518229166667,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,mean,r1,0.45263671875,0.4352091471354167,0.4728271484375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,r1,0.4879557291666667,0.47037353515625,0.50814208984375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,r1,0.4847005208333333,0.46809488932291665,0.5030965169270833,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,mean,r1,0.4803059895833333,0.4646809895833333,0.49788818359375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,r1,0.4583333333333333,0.44351806640625,0.47446289062499997,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,r1,0.4869791666666667,0.47265625,0.5035847981770833,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,mean,r1,0.4104817708333333,0.39599609375,0.4267578125,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,r1,0.3170572916666667,0.3025716145833333,0.33284912109375,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,r1,0.14339192708333334,0.13508707682291668,0.15201822916666666,0.95,1000,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,mean,r1,0.12418619791666667,0.11181233723958334,0.13818766276041666,0.95,1000,512,12
