model,pooling,replicate,sample_size,candidate_count,best_layer,best_r1
trillionlabs/Tri-0.5B-Base,last_token,0,256,512,13,0.7086588541666666
trillionlabs/Tri-0.5B-Base,last_token,1,256,512,13,0.7008463541666666
trillionlabs/Tri-0.5B-Base,last_token,2,256,512,13,0.6966145833333334
trillionlabs/Tri-0.5B-Base,last_token,3,256,512,13,0.7119140625
trillionlabs/Tri-0.5B-Base,last_token,4,256,512,13,0.6832682291666666
trillionlabs/Tri-0.5B-Base,last_token,5,256,512,13,0.68359375
trillionlabs/Tri-0.5B-Base,last_token,6,256,512,20,0.69921875
trillionlabs/Tri-0.5B-Base,last_token,7,256,512,13,0.6910807291666666
trillionlabs/Tri-0.5B-Base,last_token,8,256,512,13,0.6969401041666666
trillionlabs/Tri-0.5B-Base,last_token,9,256,512,13,0.6888020833333334
trillionlabs/Tri-0.5B-Base,last_token,10,256,512,20,0.68359375
trillionlabs/Tri-0.5B-Base,last_token,11,256,512,13,0.7086588541666666
trillionlabs/Tri-0.5B-Base,last_token,12,256,512,20,0.697265625
trillionlabs/Tri-0.5B-Base,last_token,13,256,512,13,0.693359375
trillionlabs/Tri-0.5B-Base,last_token,14,256,512,13,0.669921875
trillionlabs/Tri-0.5B-Base,last_token,15,256,512,13,0.6832682291666666
trillionlabs/Tri-0.5B-Base,last_token,16,256,512,13,0.6966145833333334
trillionlabs/Tri-0.5B-Base,last_token,17,256,512,13,0.6979166666666666
trillionlabs/Tri-0.5B-Base,last_token,18,256,512,13,0.6966145833333334
trillionlabs/Tri-0.5B-Base,last_token,19,256,512,20,0.6881510416666666
trillionlabs/Tri-0.5B-Base,mean,0,256,512,6,0.7757161458333334
trillionlabs/Tri-0.5B-Base,mean,1,256,512,6,0.7809244791666666
trillionlabs/Tri-0.5B-Base,mean,2,256,512,6,0.7750651041666666
trillionlabs/Tri-0.5B-Base,mean,3,256,512,6,0.763671875
trillionlabs/Tri-0.5B-Base,mean,4,256,512,6,0.76953125
trillionlabs/Tri-0.5B-Base,mean,5,256,512,6,0.7584635416666666
trillionlabs/Tri-0.5B-Base,mean,6,256,512,6,0.76171875
trillionlabs/Tri-0.5B-Base,mean,7,256,512,6,0.7649739583333334
trillionlabs/Tri-0.5B-Base,mean,8,256,512,6,0.779296875
trillionlabs/Tri-0.5B-Base,mean,9,256,512,6,0.7724609375
trillionlabs/Tri-0.5B-Base,mean,10,256,512,6,0.7646484375
trillionlabs/Tri-0.5B-Base,mean,11,256,512,6,0.7701822916666666
trillionlabs/Tri-0.5B-Base,mean,12,256,512,6,0.7887369791666666
trillionlabs/Tri-0.5B-Base,mean,13,256,512,6,0.7652994791666666
trillionlabs/Tri-0.5B-Base,mean,14,256,512,6,0.7552083333333334
trillionlabs/Tri-0.5B-Base,mean,15,256,512,6,0.7454427083333334
trillionlabs/Tri-0.5B-Base,mean,16,256,512,6,0.7701822916666666
trillionlabs/Tri-0.5B-Base,mean,17,256,512,6,0.7757161458333334
trillionlabs/Tri-0.5B-Base,mean,18,256,512,6,0.759765625
trillionlabs/Tri-0.5B-Base,mean,19,256,512,6,0.7805989583333334
