model,layer,normalized_depth,pooling,condition,metric,value,n,directions
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,r1,0.0029296875,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,r5,0.013020833333333334,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,r10,0.022623697916666668,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,raw,mrr,0.012879829674285566,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,raw,r1,0.011393229166666666,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,raw,r5,0.03662109375,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,raw,r10,0.056966145833333336,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,raw,mrr,0.032530129352913655,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,raw,r1,0.024088541666666668,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,raw,r5,0.060709635416666664,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,raw,r10,0.09326171875,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,raw,mrr,0.05236758493730498,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,r1,0.031901041666666664,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,r5,0.08317057291666667,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,r10,0.12320963541666667,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,mrr,0.0666601365630647,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,r1,0.0341796875,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,r5,0.07991536458333333,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,r10,0.123046875,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,mrr,0.06749843830846518,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,r1,0.0361328125,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,r5,0.08968098958333333,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,r10,0.1298828125,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,mrr,0.07164691099895974,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,r1,0.06949869791666667,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,r5,0.15022786458333334,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,r10,0.197265625,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,mrr,0.11667056429735208,512,12
